SIC	Description
2095	Coffee and Tea Mfg.
2096	Other Snack Food Mfg.
2097	Ice Mfg.
2098	"Dry Pasta, Dough, and Flour Mixes Mfg. from Purchased Flour"
2099	All Other Misc. Food Mfg.
2099	Roasted Nuts and Peanut Butter Mfg.
2099	"Mayonnaise, Dressing, and Other Prepared Sauce Mfg."
2099	Perishable Prepared Food Mfg.
2099	Spice and Extract Mfg.
2099	Tortilla Mfg.
2111	Tobacco Mfg.
2121	Tobacco Mfg.
2131	Tobacco Mfg.
2141	Tobacco Mfg.
2211	Broadwoven Fabric Mills
2221	Broadwoven Fabric Mills
2231	Broadwoven Fabric Mills
2241	Narrow Fabric Mills and Schiffli Machine Embroidery
2251	Hosiery and Sock Mills
2252	Hosiery and Sock Mills
2253	Other Apparel Knitting Mills
2254	Other Apparel Knitting Mills
2258	Knit Fabric Mills
2259	Other Apparel Knitting Mills
2259	Knit Fabric Mills
2269	Textile and Fabric Finishing Mills
2273	Carpet and Rug Mills
2281	"Fiber, Yarn, and Thread Mills"
2281	Textile and Fabric Finishing Mills
2282	"Fiber, Yarn, and Thread Mills"
2284	"Fiber, Yarn, and Thread Mills"
2284	Textile and Fabric Finishing Mills
2295	Fabric Coating Mills
2296	"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
2298	"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
2299	All Other Misc. Textile Product Mills
2299	Broadwoven Fabric Mills
2299	Nonwoven Fabric Mills
2321	Men's and Boys' Cut and Sew Apparel Mfg.
2323	Apparel Accessories and Other Apparel Mfg.
2326	Men's and Boys' Cut and Sew Apparel Mfg.
2329	Men's and Boys' Cut and Sew Apparel Mfg.
2331	"Women's, Girls', and Infants' Cut and Sew Apparel Mfg."
2353	Apparel Accessories and Other Apparel Mfg.
2371	Other Cut and Sew Apparel Mfg.
2381	Apparel Accessories and Other Apparel Mfg.
2389	Other Cut and Sew Apparel Mfg.
2389	Apparel Accessories and Other Apparel Mfg.
2391	Curtain and Linen Mills
2392	Curtain and Linen Mills
2393	Textile Bag and Canvas Mills
2394	Textile Bag and Canvas Mills
2396	Apparel Accessories and Other Apparel Mfg.
2396	Commercial Screen Printing
2397	Narrow Fabric Mills and Schiffli Machine Embroidery
2399	All Other Misc. Textile Product Mills
2411	Logging
2421	Sawmills
2421	Other Millwork (Including Flooring)
2426	All Other Misc. Wood Product Mfg.
2429	All Other Misc. Wood Product Mfg.
2431	Wood Window and Door Mfg.
2434	Wood Kitchen Cabinet and Countertop Mfg.
2435	Hardwood Veneer and Plywood Mfg.
2436	Softwood Veneer and Plywood Mfg.
2439	Engineered Wood Member (Except Truss) Mfg.
2439	"Cut Stock, Resawing Lumber, and Planing"
2439	Truss Mfg.
2441	Wood Container and Pallet Mfg.
2448	Wood Container and Pallet Mfg.
2449	Wood Container and Pallet Mfg.
2449	All Other Misc. Wood Product Mfg.
2451	Manufactured Home (Mobile Home) Mfg.
2452	Prefabricated Wood Building Mfg.
2491	Wood Preservation
2493	Reconstituted Wood Product Mfg.
2499	All Other Misc. Wood Product Mfg.
2499	Wood Container and Pallet Mfg.
2499	All Other Misc. Mfg.
2511	Custom Architectural Woodwork and Millwork Mfg.
2511	Nonupholstered Wood Household Furniture Mfg.
2514	Metal Household Furniture Mfg.
2515	Mattress Mfg.
2517	Nonupholstered Wood Household Furniture Mfg.
2519	Household Furniture (Except Wood and Metal) Mfg.
2521	Wood Office Furniture Mfg.
2522	Office Furniture (Except Wood) Mfg.
2531	Office Supplies (Except Paper) Mfg.
2591	Blind and Shade Mfg.
2611	Pulp Mills
2621	Paper (Except Newsprint) Mills
2621	Newsprint Mills
2631	Paperboard Mills
2652	Other Paperboard Container Mfg.
2653	Corrugated and Solid Fiber Box Mfg.
2655	Other Paperboard Container Mfg.
2656	Other Paperboard Container Mfg.
2657	Folding Paperboard Box Mfg.
2671	Paper Bag and Coated and Treated Paper Mfg.
2671	Plastics Packaging Film and Sheet (Including Laminated) Mfg.
2672	Paper Bag and Coated and Treated Paper Mfg.
2673	Plastics Bag and Pouch Mfg.
2673	Paper Bag and Coated and Treated Paper Mfg.
2674	Paper Bag and Coated and Treated Paper Mfg.
2675	Paper Bag and Coated and Treated Paper Mfg.
2675	Stationery Product Mfg.
2676	Sanitary Paper Product Mfg.
2677	Stationery Product Mfg.
2678	Stationery Product Mfg.
2679	All Other Converted Paper Product Mfg.
2679	Paper Bag and Coated and Treated Paper Mfg.
2711	Newspaper Publishers
2721	Periodical Publishers
2731	Book Publishers
2732	Books Printing
2741	All Other Publishers
2752	Commercial Printing (Except Screen and Books)
2754	Commercial Printing (Except Screen and Books)
2754	Commercial Gravure Printing
2759	Commercial Printing (Except Screen and Books)
2761	Commercial Printing (Except Screen and Books)
2771	Greeting Card Publishers
2782	Books Printing
2789	Support Activities for Printing
2791	Support Activities for Printing
2812	Other Basic Inorganic Chemical Mfg.
2813	Industrial Gas Mfg.
2816	Synthetic Dye and Pigment Mfg.
2819	Alumina Refining and Primary Aluminum Production
2819	All Other Misc. Chemical Product and Preparation Mfg.
2819	Other Basic Inorganic Chemical Mfg.
2821	Plastics Material and Resin Mfg.
2822	Synthetic Rubber Mfg.
2823	Artificial and Synthetic Fibers and Filaments Mfg.
2824	Artificial and Synthetic Fibers and Filaments Mfg.
2833	Medicinal and Botanical Mfg.
2834	Pharmaceutical Preparation Mfg.
2835	In-Vitro Diagnostic Substance Mfg.
2836	Biological Product (Except Diagnostic) Mfg.
2841	Soap and Other Detergent Mfg.
2842	Polish and Other Sanitation Good Mfg.
2843	Surface Active Agent Mfg.
2843	Nitrogenous Fertilizer Mfg.
2844	Toilet Preparation Mfg.
2851	Paint and Coating Mfg.
2861	"Cyclic Crude, Intermediate, and Gum and Wood Chemical Mfg."
2865	"Cyclic Crude, Intermediate, and Gum and Wood Chemical Mfg."
2865	Synthetic Dye and Pigment Mfg.
2869	Ethyl Alcohol Mfg.
2869	All Other Basic Organic Chemical Mfg.
2873	Nitrogenous Fertilizer Mfg.
2874	Phosphatic Fertilizer Mfg.
2875	Fertilizer (Mixing Only) Mfg.
2879	Pesticide and Other Agricultural Chemical Mfg.
2891	Adhesive Mfg.
2892	Explosives Mfg.
2893	Printing Ink Mfg.
2899	All Other Misc. Chemical Product and Preparation Mfg.
2899	Spice and Extract Mfg.
2911	Petroleum Refineries
2951	Asphalt Paving Mixture and Block Mfg.
2952	Asphalt Shingle and Coating Materials Mfg.
2992	Petroleum Lubricating Oil and Grease Mfg.
2999	All Other Petroleum and Coal Products Mfg.
3011	Tire Mfg. (Except Retreading)
3021	Footwear Mfg.
3052	Rubber and Plastics Hoses and Belting Mfg.
3053	"Gasket, Packing, and Sealing Device Mfg."
3061	Rubber Product Mfg. for Mechanical Use
3069	All Other Rubber Product Mfg.
3069	All Other Plastics Product Mfg.
3081	Unlaminated Plastics Film and Sheet (Except Packaging) Mfg.
3082	Unlaminated Plastics Profile Shape Mfg.
3083	"Laminated Plastics Plate, Sheet (Except Packaging), and Shape Mfg."
3084	Plastics Pipe and Pipe Fitting Mfg.
3085	Plastics Bottle Mfg.
3086	Urethane and Other Foam Product (Except Polystyrene) Mfg.
3086	Plastics Pipe and Pipe Fitting Mfg.
3086	Polystyrene Foam Product Mfg.
3087	Custom Compounding of Purchased Resins
3088	Plastics Plumbing Fixture Mfg.
3089	All Other Plastics Product Mfg.
3111	Leather and Hide Tanning and Finishing
3131	All Other Leather Good and Allied Product Mfg.
3142	Footwear Mfg.
3143	Footwear Mfg.
3144	Footwear Mfg.
3149	Footwear Mfg.
3151	Apparel Accessories and Other Apparel Mfg.
3161	All Other Leather Good and Allied Product Mfg.
3171	Women's Handbag and Purse Mfg.
3172	All Other Leather Good and Allied Product Mfg.
3199	All Other Leather Good and Allied Product Mfg.
3211	Flat Glass Mfg.
3221	Glass Container Mfg.
3229	Other Pressed and Blown Glass and Glassware Mfg.
3231	Glass Product Mfg. Made of Purchased Glass
3241	Cement Mfg.
3251	Clay Building Material and Refractories Mfg.
3253	Clay Building Material and Refractories Mfg.
3255	Clay Building Material and Refractories Mfg.
3259	Clay Building Material and Refractories Mfg.
3261	"Pottery, Ceramics, and Plumbing Fixture Mfg."
3263	"Pottery, Ceramics, and Plumbing Fixture Mfg."
3264	"Pottery, Ceramics, and Plumbing Fixture Mfg."
3269	"Pottery, Ceramics, and Plumbing Fixture Mfg."
3271	Concrete Block and Brick Mfg.
3272	Concrete Pipe Mfg.
3272	Other Concrete Product Mfg.
3273	Ready-Mix Concrete Mfg.
3274	Lime Mfg.
3281	Cut Stone and Stone Product Mfg.
3291	Abrasive Product Mfg.
3291	All Other Misc. Fabricated Metal Product Mfg.
3292	All Other Misc. Nonmetallic Mineral Product Mfg.
3295	Ground or Treated Mineral and Earth Mfg.
3296	Mineral Wool Mfg.
3297	Clay Building Material and Refractories Mfg.
3299	All Other Misc. Nonmetallic Mineral Product Mfg.
3299	Gypsum Product Mfg.
3312	All Other Petroleum and Coal Products Mfg.
3312	Iron and Steel Mills and Ferroalloy Mfg.
3313	"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (Except Copper and Aluminum)"
3313	Iron and Steel Mills and Ferroalloy Mfg.
3315	Other Fabricated Wire Product Mfg.
3315	Steel Wire Drawing
3316	Rolled Steel Shape Mfg.
3317	Iron and Steel Pipe and Tube Mfg. from Purchased Steel
3321	Iron Foundries
3322	Iron Foundries
3324	Steel Investment Foundries
3325	Steel Foundries (Except Investment)
3331	Nonferrous Metal (Except Aluminum) Smelting and Refining
3334	Alumina Refining and Primary Aluminum Production
3339	Nonferrous Metal (Except Aluminum) Smelting and Refining
3341	Secondary Smelting and Alloying of Aluminum
3351	"Copper Rolling, Drawing, Extruding, and Alloying"
3353	"Aluminum Sheet, Plate, and Foil Mfg."
3354	"Other Aluminum Rolling, Drawing, and Extruding"
3356	"Nonferrous Metal (Except Copper and Aluminum) Rolling, Drawing, and Extruding"
3357	"Nonferrous Metal (Except Copper and Aluminum) Rolling, Drawing, and Extruding"
3357	"Copper Rolling, Drawing, Extruding, and Alloying"
3357	Fiber Optic Cable Mfg.
3357	Other Communication and Energy Wire Mfg.
3363	Aluminum Die-Casting Foundries
3364	Nonferrous Metal Die-Casting Foundries
3365	Aluminum Foundries (Except Die-Casting)
3366	Other Nonferrous Metal Foundries (Except Die-Casting)
3369	Other Nonferrous Metal Foundries (Except Die-Casting)
3398	Metal Heat Treating
3411	Metal Can Mfg.
3412	Other Metal Container Mfg.
3421	"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (Except Precious) Mfg."
3421	Saw Blade and Handtool Mfg.
3423	Saw Blade and Handtool Mfg.
3425	Saw Blade and Handtool Mfg.
3429	Hardware Mfg.
3431	All Other Misc. Fabricated Metal Product Mfg.
3432	Plumbing Fixture Fitting and Trim Mfg.
3433	Heating Equipment (Except Warm Air Furnaces) Mfg.
3441	Fabricated Structural Metal Mfg.
3442	Metal Window and Door Mfg.
3443	Plate Work Mfg.
3443	Power Boiler and Heat Exchanger Mfg.
3443	Metal Tank (Heavy Gauge) Mfg.
3444	Sheet Metal Work Mfg.
3446	Ornamental and Architectural Metal Work Mfg.
3448	Prefabricated Metal Building and Component Mfg.
3449	Fabricated Structural Metal Mfg.
3449	Custom Roll Forming
3451	Precision Turned Product Mfg.
3452	"Bolt, Nut, Screw, Rivet, and Washer Mfg."
3462	Iron and Steel Forging
3463	Nonferrous Forging
3465	Motor Vehicle Metal Stamping
3466	"Metal Crown, Closure, and Other Metal Stamping (Except Automotive)"
3469	"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (Except Precious) Mfg."
3469	"Metal Crown, Closure, and Other Metal Stamping (Except Automotive)"
3469	Powder Metallurgy Part Mfg.
3471	"Electroplating, Plating, Polishing, Anodizing, and Coloring"
3479	"Metal Coating, Engraving (Except Jewelry and Silverware), and Allied Services to Manufacturers"
3482	Small Arms Ammunition Mfg.
3483	Ammunition (Except Small Arms) Mfg.
3484	"Small Arms, Ordnance, and Ordnance Accessories Mfg."
3489	"Small Arms, Ordnance, and Ordnance Accessories Mfg."
3491	Industrial Valve Mfg.
3492	Fluid Power Valve and Hose Fitting Mfg.
3493	Spring Mfg.
3495	Spring Mfg.
3495	Other Measuring and Controlling Device Mfg.
3497	All Other Misc. Fabricated Metal Product Mfg.
3497	Paper Bag and Coated and Treated Paper Mfg.
3498	Fabricated Pipe and Pipe Fitting Mfg.
3499	All Other Misc. Fabricated Metal Product Mfg.
3499	Hardware Mfg.
3511	Turbine and Turbine Generator Set Units Mfg.
3519	Other Engine Equipment Mfg.
3523	Farm Machinery and Equipment Mfg.
3524	Lawn and Garden Tractor and Home Lawn and Garden Equipment Mfg.
3531	Construction Machinery Mfg.
3532	Mining Machinery and Equipment Mfg.
3533	Oil and Gas Field Machinery and Equipment Mfg.
3534	Elevator and Moving Stairway Mfg.
3535	Conveyor and Conveying Equipment Mfg.
3536	"Overhead Traveling Crane, Hoist, and Monorail System Mfg."
3537	"Industrial Truck, Tractor, Trailer, and Stacker Machinery Mfg."
3541	Machine Tool Mfg.
3542	Machine Tool Mfg.
3543	All Other Misc. Wood Product Mfg.
3543	Industrial Pattern Mfg.
3543	All Other Misc. Fabricated Metal Product Mfg.
3544	Industrial Mold Mfg.
3544	Saw Blade and Handtool Mfg.
3544	"Special Die and Tool, Die Set, Jig, and Fixture Mfg."
3545	Cutting Tool and Machine Tool Accessory Mfg.
3546	Power-Driven Handtool Mfg.
3547	Rolling Mill and Other Metalworking Machinery Mfg.
3549	Rolling Mill and Other Metalworking Machinery Mfg.
3552	Other Industrial Machinery Mfg.
3553	"Sawmill, Woodworking, and Paper Machinery Mfg."
3554	"Sawmill, Woodworking, and Paper Machinery Mfg."
3555	Printing Machinery and Equipment Mfg.
3556	Food Product Machinery Mfg.
3559	Other Industrial Machinery Mfg.
3559	Semiconductor Machinery Mfg.
3561	Pump and Pumping Equipment Mfg.
3562	Ball and Roller Bearing Mfg.
3563	Air and Gas Compressor Mfg.
3564	Industrial and Commercial Fan and Blower and Air Purification Equipment Mfg.
3565	Packaging Machinery Mfg.
3566	"Speed Changer, Industrial High-Speed Drive, and Gear Mfg."
3567	Industrial Process Furnace and Oven Mfg.
3568	Mechanical Power Transmission Equipment Mfg.
3571	Electronic Computer Mfg.
3572	Computer Storage Device Mfg.
3575	Computer Terminal and Other Computer Peripheral Equipment Mfg.
3579	Computer and Peripheral Equipment Mfg.
3581	Other Commercial and Service Industry Machinery Mfg.
3582	Other Commercial and Service Industry Machinery Mfg.
3585	Air Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Mfg.
3585	Other Motor Vehicle Parts Mfg.
3586	Measuring and Dispensing Pump Mfg.
3589	Other Commercial and Service Industry Machinery Mfg.
3592	Motor Vehicle Gasoline Engine and Engine Parts Mfg.
3593	Fluid Power Cylinder and Actuator Mfg.
3594	Fluid Power Pump and Motor Mfg.
3596	Scale and Balance Mfg.
3599	Machine Shops
3612	"Power, Distribution, and Specialty Transformer Mfg."
3613	Switchgear and Switchboard Apparatus Mfg.
3621	Motor and Generator Mfg.
3624	Carbon and Graphite Product Mfg.
3625	Relay and Industrial Control Mfg.
3629	All Other Misc. Electrical Equipment and Component Mfg.
3631	Household Cooking Appliance Mfg.
3632	Household Refrigerator and Home Freezer Mfg.
3633	Household Laundry Equipment Mfg.
3634	Small Electrical Appliance Mfg.
3635	"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
3639	Other Major Household Appliance Mfg.
3639	Other Industrial Machinery Mfg.
3641	Electric Lamp Bulb and Part Mfg.
3643	Current-Carrying Wiring Device Mfg.
3644	Noncurrent-Carrying Wiring Device Mfg.
3645	Residential Electric Lighting Fixture Mfg.
3646	"Commercial, Industrial, and Institutional Electric Lighting Fixture Mfg."
3647	Motor Vehicle Electrical and Electronic Equipment Mfg.
3648	Other Lighting Equipment Mfg.
3651	Audio and Video Equipment Mfg.
3652	Integrated Record Production/Distribution
3652	"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing"
3661	Telephone Apparatus Mfg.
3663	Radio and Television Broadcasting and Wireless Communications Equipment Mfg.
3669	Other Communications Equipment Mfg.
3671	Other Electronic Component Mfg.
3672	Bare Printed Circuit Board Mfg.
3674	Semiconductor and Related Device Mfg.
3675	"Capacitor, Resistor, Coil, Transformer, and Other Inductor Mfg."
3676	"Capacitor, Resistor, Coil, Transformer, and Other Inductor Mfg."
3677	"Electronic Coil, Transformer, and Other Inductor Mfg."
3678	Electronic Connector Mfg.
3679	Other Electronic Component Mfg.
3679	Printed Circuit Assembly (Electronic Assembly) Mfg.
3691	Storage Battery Mfg.
3692	Primary Battery Mfg.
3695	Blank Magnetic and Optical Recording Media Mfg.
3699	All Other Misc. Electrical Equipment and Component Mfg.
3711	Automobile Mfg.
3711	Heavy Duty Truck Mfg.
3711	Light Truck and Utility Vehicle Mfg.
3711	Motor Vehicle Body Mfg.
3714	Other Motor Vehicle Parts Mfg.
3714	Motor Vehicle Brake System Mfg.
3714	Motor Vehicle Transmission and Power Train Parts Mfg.
3714	Motor Vehicle Steering and Suspension Components (Except Spring) Mfg.
3714	Motor Vehicle Gasoline Engine and Engine Parts Mfg.
3715	Truck Trailer Mfg.
3716	Motor Home Mfg.
3721	Airplane Mfg.
3724	Aircraft Engine and Engine Parts Mfg.
3728	Other Aircraft Parts and Auxiliary Equipment Mfg.
3731	Ship Building and Repairing
3732	Boat Building
3743	Railroad Rolling Stock Mfg.
3751	"Motorcycle, Bicycle, and Parts Mfg."
3761	Guided Missile and Space Vehicle Mfg.
3764	Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Mfg.
3769	Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Mfg.
3792	Travel Trailer and Camper Mfg.
3795	"Military Armored Vehicle, Tank, and Tank Component Mfg."
3799	All Other Transportation Equipment Mfg.
3812	"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Mfg."
3822	"Automatic Environment Control Mfg. for Residential, Commercial and Appliance Use"
3823	"Instruments and Related Products Mfg. for Measuring, Displaying, and Controlling Industrial Process Variables"
3824	Totalizing Fluid Meter and Counting Device Mfg.
3825	Instrument Mfg. for Measuring and Testing Electricity and Electrical Signals
3826	Analytical Laboratory Instrument Mfg.
3827	Optical Instrument and Lens Mfg.
3829	"Instruments and Related Products Mfg. for Measuring, Displaying, and Controlling Industrial Process Variables"
3829	Other Measuring and Controlling Device Mfg.
3841	Surgical and Medical Instrument Mfg.
3842	Surgical Appliance and Supplies Mfg.
3844	Irradiation Apparatus Mfg.
3845	Dental Equipment and Supplies Mfg.
3845	Electromedical and Electrotherapeutic Apparatus Mfg.
3851	Ophthalmic Goods Mfg.
3861	Photographic and Photocopying Equipment Mfg.
3861	"Photographic Film, Paper, Plate, and Chemical Mfg."
3873	Other Measuring and Controlling Device Mfg.
3911	Jewelry and Silverware Mfg.
3914	Jewelry and Silverware Mfg.
3915	Jewelry and Silverware Mfg.
3931	Musical Instrument Mfg.
3942	"Doll, Toy, and Game Mfg."
3944	"Doll, Toy, and Game Mfg."
3944	"Motorcycle, Bicycle, and Parts Mfg."
3949	Sporting and Athletic Goods Mfg.
3951	Office Supplies (Except Paper) Mfg.
3952	Office Supplies (Except Paper) Mfg.
3953	Office Supplies (Except Paper) Mfg.
3955	Office Supplies (Except Paper) Mfg.
3965	"Fastener, Button, Needle, and Pin Mfg."
3991	"Broom, Brush, and Mop Mfg."
3993	Sign Mfg.
3995	Burial Casket Mfg.
3996	All Other Plastics Product Mfg.
3999	All Other Misc. Mfg.
3999	Leather and Hide Tanning and Finishing
3999	All Other Misc. Wood Product Mfg.
3999	All Other Misc. Fabricated Metal Product Mfg.
3999	All Other Misc. Chemical Product and Preparation Mfg.
3999	All Other Plastics Product Mfg.
4011	Line-Haul Railroads
4013	Short Line Railroads
4013	Support Activities for Rail Transportation
4111	All Other Transit and Ground Transportation
4111	Bus and Other Motor Vehicle Transit Systems
4111	Mixed Mode Transit Systems
4111	Commuter Rail Systems
4111	Other Urban Transit Systems
4119	Limousine Service
4119	Special Needs Transportation
4119	Ambulance Services
4121	Taxi Service
4131	Interurban and Rural Bus Transportation
4151	School and Employee Bus Transportation
4212	"Specialized Freight (Except Used Goods) Trucking, Local"
4212	Other Waste Collection
4212	"General Freight Trucking, Local"
4212	Hazardous Waste Collection
